dimension,prompt_idx,human_mean,ai_mean,diff,t,p
15_shapes,28,0.18895443,0.16068561,0.028268814,4.016143067227521,6.134620953679708e-05
15_shapes,29,0.18985014,0.16153459,0.028315544,4.009354853369415,6.312197896756278e-05
15_shapes,30,0.1897481,0.16138403,0.028364062,4.010241443421439,6.288731644707815e-05
15_shapes,31,0.19506526,0.16601962,0.029045641,4.032262351391978,5.7317220980274735e-05
15_shapes,32,0.18590765,0.15763554,0.028272107,3.9689949466263417,7.472734870425513e-05
15_shapes,33,0.19011836,0.16218916,0.027929202,4.014496360230159,6.177258068733232e-05
15_shapes,34,0.19773154,0.16982718,0.027904361,4.00182697269864,6.514815238262389e-05
15_shapes,35,0.1899103,0.16232002,0.027590275,3.987807576731632,6.90868051135989e-05
15_shapes,36,0.19114368,0.16299735,0.028146327,4.014337971450985,6.181373895320588e-05
15_shapes,37,0.19819663,0.16912872,0.029067919,4.07916246687032,4.6973062263857575e-05
15_shapes,38,0.18332978,0.15539068,0.027939096,3.99027383596088,6.837796759288368e-05
15_shapes,39,0.19094922,0.16277736,0.028171852,4.009708261236022,6.302833977255787e-05
16_human,0,0.1805934,0.15360816,0.026985243,3.936665673883809,8.545152280503908e-05
16_human,1,0.17849518,0.15130575,0.027189434,3.931300715037595,8.736627847614624e-05
16_human,2,0.17783396,0.1507374,0.027096555,3.938346276384698,8.485992410342015e-05
16_human,3,0.18409742,0.15706107,0.027036354,3.948976333493428,8.120676696034774e-05
16_human,4,0.18251967,0.15483835,0.02768132,3.969095706917244,7.46960090059264e-05
16_human,5,0.17935963,0.15198778,0.027371854,3.9113887069571245,9.483351852072933e-05
16_human,6,0.18513732,0.15724808,0.027889237,3.969415080406004,7.459675573463437e-05
16_human,7,0.18797748,0.16079195,0.02718553,3.9473058655479867,8.177082122481468e-05
16_human,8,0.17744283,0.15011579,0.027327046,3.9317059731009327,8.722023696571792e-05
16_human,9,0.18231599,0.15458511,0.027730882,3.9677361721737285,7.511991841624484e-05
16_human,10,0.19209397,0.1642671,0.027826875,3.9605881638551677,7.738641152000168e-05
16_human,11,0.18442836,0.15670675,0.027721614,3.9449647336052327,8.256757259038309e-05
16_human,12,0.18924756,0.1619436,0.027303964,3.978716374143854,7.176030134848664e-05
16_human,13,0.17943847,0.15199177,0.027446702,3.9453680038154495,8.242980723807222e-05
16_human,14,0.17660476,0.15011935,0.026485413,3.903649057091617,9.789560049959948e-05
16_human,15,0.19938998,0.17169744,0.027692541,3.989526683496963,6.859197928533534e-05
16_human,16,0.18260404,0.1549777,0.02762635,3.928206077262329,8.848913097675346e-05
16_human,17,0.18523613,0.1575759,0.02766022,3.9453765700895564,8.242688318318576e-05
16_human,18,0.19295157,0.16545248,0.027499095,3.9900888529632845,6.843089449464983e-05
16_human,19,0.18595849,0.15854624,0.02741225,3.9779097546812423,7.200218023486114e-05
16_human,20,0.1895542,0.16165337,0.02790083,3.960822708104547,7.731102635705801e-05
16_human,21,0.17798539,0.15087827,0.02710712,3.8988578051730416,9.983775573965431e-05
16_human,22,0.18466492,0.15796982,0.026695102,3.9554902688531426,7.904221961093315e-05
16_human,23,0.18265176,0.15525259,0.027399167,3.9541514470046906,7.94825972855018e-05
16_human,24,0.18760647,0.16061044,0.026996031,3.934864242270427,8.6089985033351e-05
